filename,question,options,answer,category,id
BNATURE_48.jpg,ছবির ফলটির নাম কি ?,"['পেঁপে', 'আম', 'কাঠাল', 'পেয়ারা']",পেঁপে,Food,P6BN48
BNATURE_4894.jpg,ছবিতে দূরে কাকে দাঁড়িয়ে থাকতে দেখা যাচ্ছে?,"['একজন কৃষক', 'একজন রাখাল', 'একজন পর্যটক', 'একজন পথচারী']",একজন কৃষক,Nature,P6BN4894
BNATURE_4818.jpg,ছবিতে কোন ধরনের কাজ করতে দেখা যাচ্ছে?,"['জমিতে হাল চাষ করা', 'ফসল কাটা', 'মাছ ধরা', 'পরিবহন']",জমিতে হাল চাষ করা,Social Life,P6BN4818
BNATURE_4839.jpg,ছবিতে পাখিটি কোথায় বসে আছে?,"['বাঁশে', 'গাছে', 'হাতে', 'মাথায়']",বাঁশে,Nature,P6BN4839
BNATURE_4841.jpg,ছবিতে জেলে কি দিয়ে মাছ ধরছেন?,"['জাল', 'বড়শি', 'তেলাপিয়া', 'চাই']",জাল,Social Life,P6BN4841
BNATURE_49.jpg,ছবিতে কোন শস্যের ক্ষেত দেখানো হয়েছে?,"['ধান', 'গম', 'পাট', 'ভুট্টা']",ধান,Nature,P6BN49
BNATURE_4910.jpg,ছবিতে কি কি আছে ?,"['পাখি , মানুষ ,সাইকেল', 'আকাশ, মোটরবাইক, মানুষ', 'মানুষ ও গাড়ি', 'পাখি ও আকাশ']","পাখি , মানুষ ,সাইকেল",Nature,P6BN4910
BNATURE_4911.jpg,ছবিতে কোন পরিবহনটি দেখা যাচ্ছে?,"['রিকশা', 'ঠেলাগাড়ি', 'বাস', 'টেম্পো']",রিকশা,Nature,P6BN4911
BNATURE_4973.jpg,ছবিতে কোন ধরনের জিনিসপত্র দেখা যাচ্ছে?,"['আধুনিক স্যুভেনিয়ার', 'লোকশিল্প ও হস্তশিল্প', 'গয়না', 'পোশাক']",লোকশিল্প ও হস্তশিল্প।,Arts & History,P6BN4973
BNATURE_5.jpg,মেয়েগুলো কি কাপড় পরেছে ?,"['থ্রি পিছ', 'শাড়ি', 'শার্ট প্যান্ট', 'লেহেঙ্গা']",থ্রি পিছ,Clothing & Fashion,P6BN5
BNATURE_50.jpg,ছবিতে কোন ধরনের দৃশ্য দেখানো হয়েছে?,"['একটি শহরের দৃশ্য', 'একটি গ্রামের দৃশ্য', 'একটি বনের দৃশ্য', 'একটি নদীর দৃশ্য']",একটি গ্রামের দৃশ্য।,Nature,P6BN50
BNATURE_5079.jpg,ছবিতে কোন হ্রদ দেখা যাচ্ছে?,"['কাপ্তাই হ্রদ', 'বাইকাল হ্রদ', 'ডাল হ্রদ', 'চিত্তরঞ্জন হ্রদ']",কাপ্তাই হ্রদ,Nature,P6BN5079
BNATURE_51.jpg,কৃষ্ণচূড়া ফুল বাংলাদেশের কোন ঋতুতে সবচেয়ে বেশি দেখা যায়?,"['শরৎকালে', 'হেমন্তকালে', 'গ্রীষ্মকালে', 'বর্ষাকালে']",গ্রীষ্মকালে,Nature,P6BN51
BNATURE_52.jpg,তীরে কি বাগান দেখা যায় ?,"['কাশফুল', 'স্ট্রবেরি', 'সুর্যমূখী', 'রজনীগন্ধা']",কাশফুল,Social Life,P6BN52
BNATURE_53.jpg,ছবিতে কোন ধরনের কার্যকলাপ দেখানো হয়েছে?,"['মাছ ধরা', 'নৌকা তৈরি', 'যাত্রী পরিবহন', 'কাপড় ধোয়া']",যাত্রী পরিবহন,Social Life,P6BN53
BNATURE_111.jpg,চিত্রের মেঠোপথের পাশে কি গাছ দেখা যায়?,"['তাল', 'নারকেল', 'খেঁজুর', 'ঝাঁউ']",খেঁজুর,Nature,F3BN111
BNATURE_112.jpg,ছবির প্রকৃতি কেমন?,"['কুয়াশাচ্ছন্ন', 'রোদ ঝলমলে', 'বর্ষণ্মুখর', 'খরাপ্রবণ']",কুয়াশাচ্ছন্ন,Nature,F3BN112
BNATURE_1.jpg,বাংলাদেশের খড়কুটোর বাড়ির পাশে থাকা বাচ্চারা কী করছে?,"['খেলছে', 'দাঁড়িয়ে আছে', 'দৌড়াচ্ছে', 'গান গাচ্ছে']",দাঁড়িয়ে আছে,Social Life,P11BN1
BNATURE_66.jpg,দৃশটি বাংলাদেশের কোন অঞ্চল কে প্রদর্শন করে?,"['পাহাড়ি', 'সমতল', 'শহর', 'নগর']",পাহাড়ি,Nature,P7BN66
BNATURE_69.jpg,ছবিতে ভাসমান নৌকা গুলো  কোন ধরণের?,"['ডিঙ্গি', 'জাহাজ', 'সাম্পান', 'ভেলা']",ডিঙ্গি,Arts & History,P7BN69
BNATURE_7.jpg,ছোবটি কোন এলাকাকে প্রতিনিধিত্ব করছে?,"['উপকূলীয়', 'শহর', 'নগর', 'শহুরে বস্তি']",উপকূলীয়,Nature,P7BN7
BNATURE_72.jpg,"এই ছবিতে যা দেখা যাচ্ছে, সেটি কোন ধরনের পরিবেশ?","['শহুরে পরিবেশ', 'গ্রামীণ পরিবেশ', 'মরুভূমি', 'পাহাড়ি পরিবেশ']",গ্রামীণ পরিবেশ,Nature,P7BN72
BNATURE_75.jpg,ছবিতে দুটি হরিণ দেখা যাচ্ছে। এটি সম্ভবত কোন প্রাকৃতিক স্থানে তোলা হয়েছে?,"['বনাঞ্চল', 'পার্ক', 'খামার', 'বাগান']",বনাঞ্চল,Nature,P7BN75
BNATURE_76.jpg,"ছবিতে যে দৃশ্য দেখা যাচ্ছে, সেখানে  কী পণ্য বিক্রি হচ্ছে?","['মাছ', 'লেবু', 'ফল', 'সবজি']",লেবু,Nature,P7BN76
BNATURE_90.jpg,চিত্র টি মহাস্থান গড়ের। এটার অবস্থান কোথায়?,"['বগুড়া', 'ঢাকা', 'চট্টগ্রাম', 'বরিশাল']",বগুড়া,Arts & History,P7BN90
BNATURE_91.jpg,এই ছবিতে কি দৃশ্য দেখা যাচ্ছে?,"['পদ্মফুলের বাগান', 'সবুজ মাঠ', 'কৃষিকাজের দৃশ্য', 'নদী এবং কোলাহল']",পদ্মফুলের বাগান,Nature,P7BN91
BNATURE_96.jpg,এই ছবিতে কোথায় মানুষ বসবাস করছে?,"['শহরের রাস্তায়', 'নদী তীরবর্তী  এলাকার', 'গ্রামে', 'পাহাড়ি অঞ্চলে']",নদী তীরবর্তী  এলাকার,Nature,P7BN96
BNATURE_294.jpg,বাংলাদেশের কোন সামাজিক বাস্তবতাকে উপস্থাপন করে?,"['শিল্প শ্রমিকের জীবন', 'গ্রামীণ কৃষকের জীবন', 'শহরের বস্তির জীবন', 'বাণিজ্যিক ব্যবসায়ীর জীবন']",গ্রামীণ কৃষকের জীবন,Social Life,P5BN294
BNATURE_306.jpg,এটি কোন ধরনের সেতু?,"['গ্রামের বাঁশের সাঁকো', 'কাঠের সেতু', 'কংক্রিট সেতু', 'লোহার সেতু']",গ্রামের বাঁশের সাঁকো,Social Life,P5BN306
BNATURE_36.jpg,শিশুরা সরিষা ক্ষেতের মধ্যে দৌড়াচ্ছি কী ধরে ?,"['জাতীয় পতাকা', 'খেলনার বল', 'ফুলের তোড়া', 'ব্যাগ']",জাতীয় পতাকা,Social Life,P5BN36
BNATURE_39.jpg,এই মাঠে কী ধরনের অর্থনৈতিক ফসল চাষ করা হচ্ছে?,"['চা', 'পাট', 'ধান', 'গম']",চা,Food,P5BN39
BNATURE_4.jpg,"এই ছবির অনুযায়ী, সাইক্লোন শেল্টারটি কী হিসেবে ব্যবহৃত হচ্ছে?","['স্কুল', 'বাজার', 'হাসপাতাল', 'ধর্মীয় স্থান']",স্কুল,Incidents,P5BN4
BNATURE_42.jpg,এই কাশফুল কোন মৌসুমের নির্দেশক?,"['শরৎ', 'গ্রীষ্ম', 'শীত', 'বর্ষা']",শরৎ,Nature,P5BN42
BNATURE_47.jpg,"ছবিতে বাংলাদেশের জাতীয় ফলটি দেখা যাচ্ছে, এর নাম কী?","['কাঁঠাল', 'লিচু', 'পেঁপে', 'আম']",কাঁঠাল,Food,P5BN47
BNATURE_295.jpg,পাহাড়ী মহিলাটি মাথায় করে কী নিয়ে যাচ্ছে?,"['সবজি', 'কলস', 'বাচ্চা', 'ধান']",কলস,Social Life,F5BN295
BNATURE_3.jpg,লোকটি কোন ক্ষেতে চাষ করছে?,"['ধান ক্ষেত', 'পাট ক্ষেত', 'আলু', 'সবজি ক্ষেত']",ধান ক্ষেত,Nature,F5BN3
BNATURE_302.jpg,ছবিতে রাস্তার ধারে কোন গাছ দেখা যাচ্ছে?,"['আম গাছ', 'জাম', 'খেজুর', 'লিচু']",খেজুর,Nature,F5BN302
BNATURE_312.jpg,লোকগুলো কী দিয়ে জলাশয় পার হচ্ছে?,"['নৌকা', 'জাহাজ', 'ট্রলার', 'ভেলা']",নৌকা,Incidents,F5BN312
BNATURE_314.jpg,হলুদ রঙের শষ্যটির নাম কী?,"['ধান', 'পাট', 'সরিষা', 'আলু']",সরিষা,Nature,F5BN314
BNATURE_315.jpg,জলাশয়ের মাঝে সবুজ কোন উদ্ভিদ দেখা যাচ্ছে?,"['কচুরিপানা', 'ধান', 'সরিষা', 'পাট']",কচুরিপানা,Nature,F5BN315
BNATURE_316.jpg,লাল ফুলটির নাম কী?,"['জবা', 'গাদা', 'গোলাপ', 'শিউলী']",গোলাপ,Nature,F5BN316
BNATURE_319.jpg,লোকদুটি কোন ক্ষেতের পাশ দিয়ে হাটছে?,"['পাট', 'ধান', 'সরিষা', 'আলু']",ধান,Nature,F5BN319
BNATURE_33.jpg,বাচ্চা দুটি কোন প্রানীর সামনে দাড়ায়ে আছে?,"['গরু', 'ছাগল', 'মহিষ', 'ভেড়া']",গরু,Nature,F5BN33
BNATURE_101.jpg,ছবিটি কি নির্দেশ করছে?,"['শহুরে জীবন', 'গ্রামীণ জীবন', 'শপিংমল', 'বিন্ডিং']",গ্রামীণ জীবন,Nature,P3BN101
BNATURE_103.jpg,চিত্রে মাঠে কি রয়েছে?,"['গোলাপ', 'সরিষা', 'আলু', 'বেগুন']",সরিষা,Nature,P3BN103
BNATURE_105.jpg,ছবিতে লোকের পিছনে কি রয়েছে?,"['ধান ক্ষেত', 'গ্রামীণ মাঠ', 'সবুজ সমারোহ', 'কাশফুল']",সবুজ সমারোহ,Nature,P3BN105
BNATURE_106.jpg,ছবিতে লোক কি করছে?,"['ধান লাগাচ্ছে', 'ধান ফলাচ্ছে', 'ধান মাড়াই করছে', 'ধান কাটছে']",ধান মাড়াই করছে,Social Life,P3BN106
BNATURE_107.jpg,ছেলেটি কি করছে?,"['পড়াশুনা', 'গোসল', 'মাছধরা', 'কোডিং']",গোসল,Social Life,P3BN107
BNATURE_108.jpg,চিত্রে বালকদের অবস্থা কি ইঙ্গিত করে?,"['ছোটবেলা', 'যৌবন', 'মধ্যবয়স', 'কিছুই না']",ছোটবেলা,Social Life,P3BN108
BNATURE_110.jpg,ছবিতে কি দেখা যাচ্ছে?,"['একটি পুকুর ও কুঁড়েঘর', 'একটি তাল গাছ', 'সূর্যোদয়', 'কিছু পাখি']",একটি পুকুর ও কুঁড়েঘর,Nature,P3BN110
BNATURE_113.jpg,ছবির যন্ত্র (পাওয়ার টিলার) কোন কাজে ব্যবহার করা হয়?,"['মাছ ধরা', 'কৃষিকাজ', 'যাতায়ত', 'রাস্তা তৈরি']",কৃষিকাজ,Social Life,F4BN113
BNATURE_114.jpg,ছবিতে থাকা ফুল(শাপলা) কিভাবে বাংলাদেশের সাথে সম্পর্কিত?,"['রপ্তানি ও বাণিজ্য', 'জাতীয় ফুল', 'ঘর সাজানোর উপাদান', 'কোনো সম্পর্ক নেই']",জাতীয় ফুল,Nature,F4BN114
BNATURE_117.jpg,বন্যার কারণে বাংলাদেশের কোন জায়গা সবথেকে বেশি ক্ষতিগ্রস্থ হয়?,"['উত্তরবঙ্গ', 'পার্বত্য অঞ্চল', 'দক্ষিণাঞ্চল', 'পুর্বাঞ্চল']",দক্ষিণাঞ্চল,Incidents,F4BN117
BNATURE_123.jpg,ছবিতে দেখা পদ্মফুলের চাষ সাধারণত কোন ধরণের জলাশয়ে সবচেয়ে ভালো হয়?,"['গভীর নদী', 'পাহাড়ি ঝর্ণা', 'অগভীর বিল বা জলাশয়', 'সমুদ্রের তীর']",অগভীর বিল বা জলাশয়,Nature,F4BN123
BNATURE_127.jpg,ছবির ব্যক্তিটি কোন কাজ করছেন?,"['কৃষিকাজ', 'মাছ চাষ', 'পানি উত্তোলন', 'জলাশয় পরিষ্কার করা']",মাছ চাষ,Social Life,F4BN127
BNATURE_15.jpg,ছবিতে দেখানো ঐতিহাসিক স্থানটি কোন সময়ে স্থাপিত?,"['পাকিস্তান আমলে', 'আর্য যুগে', 'মুঘল আমলে', 'পাল যুগে']",মুঘল আমলে,Arts & History,F4BN15
BNATURE_170.jpg,ছবির বাঁশের এরূপ মাচা কোন অঞ্চলে দেখা যায়?,"['কক্সবাজার', 'কুয়াকাটা', 'সাজেক ভ্যালি', 'জাফলং']",সাজেক ভ্যালি,Nature,F4BN170
BNATURE_249.jpg,ছবির লেকটির নাম বগা লেক। এটি বাংলাদেশের কোথায় অবস্থিত?,"['ঢাকা', 'চট্টগ্রাম', 'সিলেট', 'রাজশাহী']",চট্টগ্রাম,Nature,F4BN249
BNATURE_25.jpg,ছবির চত্বরটির নাম শাপলা চত্বর। এটি বাংলাদেশের কোথায় অবস্থিত?,"['মিরপুর, ঢাকা', 'পটুয়াখালি, বরিশাল', 'মতিঝিল, ঢাকা', 'পাবনা, রাজশাহী']","মতিঝিল, ঢাকা",Arts & History,F4BN25
BNATURE_264.jpg,ছবির ঐতিহ্যবাহী ব্রিজটি কোন জায়গায় অবস্থিত?,"['খাগড়াছড়ি', 'রাঙামাটি', 'খুলনা', 'বরিশাল']",রাঙামাটি,Arts & History,F4BN264
BNATURE_276.jpg,"ছবিতে যেই দুইজন মুক্তিযুদ্ধে শহীদদের ছবি আছে, তাদের খেতাব কী?","['বীর উত্তম', 'বীরশ্রেষ্ঠ', 'বীর বিক্রম', 'বীর প্রতীক']",বীরশ্রেষ্ঠ,Arts & History,F4BN276
BNATURE_10.jpg,কোন খেলা নির্দেশ করে?,"['দৌড়', 'ফুটবল', 'ক্রিকেট', 'হাডুডু']",দৌড়,Sports,P9BN10
BNATURE_100.jpg,ছবিতে কীসের দৃশ্য দেখা যাচ্ছে?,"['গ্রামের মাঠ', 'নদীর ধার', 'পাহাড়ের দৃশ্য', 'সমুদ্রের পাড়']",গ্রামের মাঠ,Nature,P9BN100
BNATURE_119.jpg,ছবিতে কোন ধরনের বাড়িঘর দেখা যাচ্ছে?,"['ইটের তৈরি বাড়ি', 'কাঠের তৈরি বাড়ি', 'টিনের তৈরি বাড়ি', 'ছনের তৈরি বাড়ি']",ছনের তৈরি বাড়ি,Nature,P4BN119
BNATURE_121.jpg,ছবিতে শিশুটি কি করছে?,"['মাছ ধরছে', 'শাপলা তুলছে', 'সাঁতার কাটছে', 'খেলছে']",শাপলা তুলছে,Nature,P4BN121
BNATURE_122.jpg,ছবিতে কি দেখা যাচ্ছে?,"['একজন লোক নৌকায় করে মাছ ধরছে', 'একজন লোক নদীতে সাঁতার কাটছে', 'একজন লোক নদীর ধারে বসে আছে', 'একজন লোক নৌকা চালাচ্ছে']",একজন লোক নৌকায় করে মাছ ধরছে,Social Life,P4BN122
BNATURE_125.jpg,ছবিতে কী দেখা যাচ্ছে?,"['ধানক্ষেত', 'পাটক্ষেত', 'সরিষা ক্ষেত', 'সবজি বাগান']",সরিষা ক্ষেত,Nature,P4BN125
BNATURE_128.jpg,বাংলাদেশের গ্রামীণ জীবনে কোন পশুটি বিশেষভাবে গুরুত্বপূর্ণ?,"['ঘোড়া', 'মহিষ', 'ছাগল', 'ভেড়া']",মহিষ,Social Life,P4BN128
BNATURE_129.jpg,ছবিতে কোন ধরনের বসতি দেখা যাচ্ছে?,"['একটি শহরের ব্যস্ত রাস্তা', 'উপকূলীয় বসতি', 'সমতল ভূমির বসতি', 'পাহাড়ি বসতি']",পাহাড়ি বসতি,Social Life,P4BN129
BNATURE_130.jpg,"""গরুর গাড়ি"" বাংলাদেশের কোন অঞ্চলে এবং কীভাবে ব্যবহৃত হতো?","['শুধুমাত্র শহরে যাতায়াতের জন্য', 'গ্রামীণ অঞ্চলে পরিবহন এবং কৃষি কাজে', 'শুধুমাত্র পণ্য পরিবহনের জন্য', 'শুধুমাত্র উৎসব উপলক্ষে']",গ্রামীণ অঞ্চলে পরিবহন এবং কৃষি কাজে,Social Life,P4BN130
BNATURE_132.jpg,বাংলাদেশের গ্রামীণ অঞ্চলের প্রধান জীবিকার উৎস কী?,"['শুধুমাত্র কৃষি', 'শুধুমাত্র শিল্প', 'কৃষি, পশুপালন এবং হস্তশিল্প', 'শুধুমাত্র পশুপালন']","কৃষি, পশুপালন এবং হস্তশিল্প",Nature,P4BN132
BNATURE_133.jpg,গ্রামবাংলায় সাধারণত এই ধরনের বৈঠক বা আলোচনা সভা কোন উদ্দেশ্যে আয়োজন করা হয়?,"['গ্রামের সাংস্কৃতিক অনুষ্ঠান আয়োজনের জন্য', 'সামাজিক সমস্যা সমাধান ও উন্নয়নমূলক কার্যক্রমের জন্য', 'শুধুমাত্র ধর্মীয় অনুষ্ঠান পরিকল্পনার জন্য', 'রাজনৈতিক দলের সভার জন্য']",সামাজিক সমস্যা সমাধান ও উন্নয়নমূলক কার্যক্রমের জন্য,Social Life,P4BN133
BNATURE_134.jpg,বাংলাদেশের গ্রামীণ জীবনের সাধারণ দৃশ্যপট কোনটি?,"['শহরের উঁচু ভবন ও ট্রাফিক', 'খোলা মাঠ, নদী, গরু-ছাগল চরানো এবং মাটির রাস্তা', 'শুধুমাত্র কলকারখানা ও অফিস এলাকা', 'সমুদ্রতীরে আধুনিক রিসোর্ট']","খোলা মাঠ, নদী, গরু-ছাগল চরানো এবং মাটির রাস্তা",Nature,P4BN134
BNATURE_138.jpg,বাংলাদেশের প্রধান প্রাকৃতিক বৈশিষ্ট্যগুলির মধ্যে কোনটি সবচেয়ে গুরুত্বপূর্ণ?,"['পর্বতমালা', 'মরুভূমি', 'নদী ও খাল', 'মালভূমি']",নদী ও খাল,Nature,P4BN138
BNATURE_139.jpg,এটি বাংলাদেশের কোন ধরনের পরিবেশ বা প্রাকৃতিক দৃশ্যের অংশ হতে পারে?,"['গ্রামাঞ্চলের প্রাকৃতিক দৃশ্য', 'শহরের ব্যস্ত রাস্তা', 'সমুদ্র সৈকত', 'বনভূমি']",গ্রামাঞ্চলের প্রাকৃতিক দৃশ্য,Nature,P4BN139
BNATURE_140.jpg,এটি বাংলাদেশের কোন ধরনের প্রাকৃতিক পরিবেশ বা কার্যক্রমের অংশ হতে পারে?,"['নৌকা দিয়ে জল পরিবহন', 'কৃষি কাজ', 'বনজ সম্পদ সংগ্রহ', 'সেচ ব্যবস্থাপনা']",নৌকা দিয়ে জল পরিবহন,Nature,P4BN140
BNATURE_142.jpg,"ই ছবিতে যা দেখা যাচ্ছে, এটি বাংলাদেশের কোন ধরনের প্রাকৃতিক পরিবেশ বা কৃষি কার্যক্রমের অংশ হতে পারে?","['পুকুর বা জলাশয়ে মাছ ধরার প্রথা', 'ধান চাষের কাজ', 'বন্যপ্রাণী শিকার', 'গাছের ফল সংগ্রহ']",পুকুর বা জলাশয়ে মাছ ধরার প্রথা,Nature,P4BN142
BNATURE_157.jpg,এই ফুলগুলি কোন ঋতুতে বেশি ফুটে থাকে?,"['গ্রীষ্ম', 'বর্ষা', 'শীত', 'বসন্ত']",বসন্ত,Nature,P4BN157
BNATURE_20.jpg,এই ছবিতে কোন রিফিউজি ক্যাম্পের দৃশ্য দেখা যাচ্ছে,"['কক্সবাজার রিফিউজি ক্যাম্প', 'বাণিজ্যিক রিফিউজি ক্যাম্প', 'মংলা রিফিউজি ক্যাম্প', 'ঢাকার রিফিউজি ক্যাম্প']",কক্সবাজার রিফিউজি ক্যাম্প,Incidents,P4BN20
BNATURE_219.jpg,বাংলাদেশী সংস্কৃতিতে দলপালা ফুলের গুরুত্ব কী?,"['জাতীয় ফুল', 'ধর্মীয় প্রতীক', 'খাদ্য উপাদান', 'ঔষধি উদ্ভিদ']",জাতীয় ফুল,Nature,P4BN219
